time,variable,value
2023-06-10 20:00:00,load,20917425
2023-06-10 20:00:00,temperature,18.132
2023-06-10 21:00:00,load,19812750
2023-06-10 21:00:00,temperature,17.434
2023-06-10 22:00:00,load,18225638
2023-06-10 22:00:00,temperature,16.79
2023-06-10 23:00:00,load,16930963
2023-06-10 23:00:00,temperature,16.263
2023-06-11 00:00:00,load,14637763
2023-06-11 00:00:00,temperature,18.427
2023-06-11 01:00:00,load,14422950
2023-06-11 01:00:00,temperature,18.024
2023-06-11 02:00:00,load,14277950
2023-06-11 02:00:00,temperature,17.679
2023-06-11 03:00:00,load,13985500
2023-06-11 03:00:00,temperature,17.872
2023-06-11 04:00:00,load,14772713
2023-06-11 04:00:00,temperature,18.424
2023-06-11 05:00:00,load,17824213
2023-06-11 05:00:00,temperature,19.378
2023-06-11 06:00:00,load,20280113
2023-06-11 06:00:00,temperature,20.578
2023-06-11 07:00:00,load,21583125
2023-06-11 07:00:00,temperature,21.687
2023-06-11 08:00:00,load,22134725
2023-06-11 08:00:00,temperature,22.654
2023-06-11 09:00:00,load,22134538
2023-06-11 09:00:00,temperature,23.528
2023-06-11 10:00:00,load,22523388
2023-06-11 10:00:00,temperature,24.238
2023-06-11 11:00:00,load,22642075
2023-06-11 11:00:00,temperature,24.706
2023-06-11 12:00:00,load,22627238
2023-06-11 12:00:00,temperature,24.899
2023-06-11 13:00:00,load,22207775
2023-06-11 13:00:00,temperature,24.87
2023-06-11 14:00:00,load,22100000
2023-06-11 14:00:00,temperature,24.605
2023-06-11 15:00:00,load,21713625
2023-06-11 15:00:00,temperature,24.111
2023-06-11 16:00:00,load,21399500
2023-06-11 16:00:00,temperature,23.358
2023-06-11 17:00:00,load,21017638
2023-06-11 17:00:00,temperature,22.161
2023-06-11 18:00:00,load,21027251
2023-06-11 18:00:00,temperature,21.023
2023-06-11 19:00:00,load,21079713
2023-06-11 19:00:00,temperature,19.897